ID,Season,Phylum,Class,Order,Family,Genus,TrophicSpecies,FunctionalGroup,TrophicGroup,InIntList,Abundance (ind/m3),Biomass (mg C/m3),BodyMass (g),BodySize (mm),GowthRate (mm/day),Zone,Reference_pres,Reference_pres_link,Reference_traits,Reference_traits_link,Observation
1,Autumn,Arthropoda,Malacostraca,Amphipoda,Leucothoidae,Leucothoe,Leucothoe_spinicarpa,Amphipoda,Benthos,Yes,NA,NA,NA,12,NA,Meseta,Schejter_etal_2016,,,,
2,Autumn,Arthropoda,Malacostraca,Amphipoda,Stegocephalidae,Metandania,Metandania_tordi,Amphipoda,Benthos,No,NA,NA,NA,8,NA,Meseta,Lopez-Gappa_etal_2006; Schejter_etal_2016; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Berge&Vader_2003,https://www.researchgate.net/profile/Jorgen-Berge/publication/236838888_Metandania_tordi_a_new_stegocephalid_Crustacea_Peracarida_Amphipoda_species_from_the_Southern_Ocean/links/582eba5b08ae004f74be1a9f/Metandania-tordi-a-new-stegocephalid-Crustacea-Peracarida-Amphipoda-species-from-the-Southern-Ocean.pdf,
3,Autumn,Arthropoda,Malacostraca,Amphipoda,Epimeriidae ,Metepimeria,Metepimeria_acanthurus,Amphipoda,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2016,,,,
4,Spring,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto_gaudichaudii,Amphipoda,Zooplankton,Yes,0.65,NA,NA,8,0.07,Meseta,Spinelli_etal_2020,,Temperoni_etal_2013,,
5,NA,Arthropoda,Malacostraca,Amphipoda,Aoridae,Lembos,Lembos_fuegiensis,Amphipoda,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
6,NA,Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Tylosapis,Tylosapis_dentatus,Amphipoda,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
7,NA,Arthropoda,Malacostraca,Amphipoda,Colomastigidae,Colomastix,Colomastix_fissilingua,Amphipoda,Zooplankton,No,NA,NA,NA,5,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Lorz_2001,https://doi.org/10.1078/1439-6092-00010,
8,NA,Arthropoda,Malacostraca,Amphipoda,Conicostomatidae,Stomacontion,Stomacontion_pepinii,Amphipoda,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
9,NA,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Haplocheira,Haplocheira_barbimana_robusta,Amphipoda,Zooplankton,No,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,
10,NA,Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Polycheria,Polycheria_antarctica,Amphipoda,Zooplankton,Yes,NA,NA,NA,6,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Dauby_etal_2001,https://doi.org/10.1023/A:1017596120422,Collapsed as Polycheria_spp
